篇名,作者,关键词,摘要,没有引进词表的jieba提取的中药材,引进词表的jieba提取的中药材
黄芪等药食同源类中药作为功能性食品与肠道菌群的相互作用,"田雨,丁艳平,邵宝平,杨晶,吴建国","黄芪,药食同源,功能性成分,肠道菌群,中草药功能性食品","中草药是我国文化的瑰宝,中医理论是中国传统医学的核心,其中的许多理念都可以与现代食品工业中的功能性食品概念得到统一与平衡.自古人们便发现药品与食品有同一来源,现如今,药食同源概念已被大众广泛接受,黄芪等多味中药被先后列入药食同源目录中,药食同源类中药中含有丰富的生物活性物质,可作为特色资源被开发成相关功能性食品,实现传统医学与现代理念的结合.黄芪中的主要功能性成分——黄酮类、多糖类和皂苷类能通过影响肠道菌群的种群结构、代谢以及肠道细胞功能等方式维持肠道微环境稳态,进而影响人体健康;另一方面,肠道菌群也参与这些活性成分在体内的吸收、代谢、转化等各个步骤,对其功效的发挥产生影响,提高其生物利用度,是生物活性物质发挥功效相关机制中必不可少的角色.该文主要对黄芪中的黄酮类、多糖类和皂苷类活性成分与肠道菌群的相互作用做一综述,同时列举出其他药食两用中药中的这种主要功能成分与肠道菌群的相互作用方式,进行概括,为黄芪等药食同源类中药作为功能性食品原料的功效机制及新产品应用与开发方面提供理论基础,并对黄芪等药食同源类中草药功能性食品的未来发展提出建议与展望.",黄芪,黄芪
药食同源植物葛根的研究进展,"董彐倩,梅瑜,王继华,黄能旭,蔡时可","药食同源,葛根,化学成分,食品开发,育种","葛根营养丰富,是一种重要的药食同源植物,可开发为多种药用和保健食品,市场前景广阔.综述了葛根资源与分布、化学成分、药用历史、食品开发与利用、育种栽培等方面的研究进展,以期为葛根的研究及开发利用提供参考.",葛根,葛根
防治冠心病药食同源类中药配伍研究,"盛蒙,陈瑞,田维毅","冠心病,药食同源类中药,用药规律,关联规则","目的:分析近十年来药食同源类中药防治冠心病的应用及配伍规律.方法:检索中医临床诊疗文献数据库、中国知网,筛选-年治疗冠心病的临床文献,运用频数统计和关联规则分析的Apriori算法分析防治冠心病的中药及药食同源类中药性味归经、高频药对及其配伍规律.结果:共纳入篇临床文献,首方剂,味中药.临床治疗冠心痛最常用的味中药为丹参、黄芪、川芎、红花、瓜蒌;最常用的味药食同源类中药为甘草、当归、桃仁、人参、薤白、桔梗.结论:防治冠心病的药食同源类中药以补气活血养血类中药为主,药性平和.","丹参, 黄芪, 川芎, 红花, 瓜蒌, 甘草, 当归, 桃仁, 人参, 薤白, 桔梗","丹参, 黄芪, 川芎, 红花, 瓜蒌, 甘草, 当归, 桃仁, 人参, 薤白, 桔梗"
不同产地六种药食同源药材中重金属及农药残留的测定,"吴诗惠,杨军,朱宁,王剑波","不同地域,药食同源,药材,重金属,农药残留","目的:对不同地域的种药食同源药材中重金属及农药残留进行测定,为药材的安全性评价和监管及相应措施的实施提供科学依据.方法:参照《中国药典》年版中检测方法,运用微波消解-电感耦合等离子体质谱法对药材中重金属铅、砷、镉、汞、铜残留进行含量测定,运用气相色谱法对药材中有机氯农药残留进行检测,并与《中国药典》年版、《GB-食品中污染物限量》、《WM/T-药用植物及制剂外经贸绿色行业标准》及《GB-食品中农药最大残留限量》等法典或标准中重金属及农药残留限量对比,评价不同地域的污染状况及药材品质.结果:根据重金属及农药残留检测方法测得不同地域的种药食同源药材均未超出《中国药典》年版中规定的重金属及农药残留的限度,但其中样品、的砷含量均大于.mg·kg-,样品、、、、、、、的镉含量均大于.mg·kg-,均超出《GB-食品中污染物限量标准》中的污染物限量.结论:我国镉和砷污染状况仍然严峻,全面禁止有机氯农药的使用初显成效,药食同源药材的监测力度有待提升.",铅,铅
加速溶剂萃取-QuEChERS-超高效液相色谱-串联质谱法测定药食同源性食品中种真菌毒素,"方真,曲栗,古淑青,陈柔含,李优,邓晓军,郭德华,冯峰","超高效液相色谱-串联质谱,加速溶剂萃取,QuEChERS,真菌毒素,药食同源性食品","建立了加速溶剂萃取-QuEChERS-超高效液相色谱-串联质谱测定药食同源性食品中种真菌毒素的方法.样品经过加速溶剂萃取后用QuEChERS方法净化,液相色谱分离,在正、负离子同时扫描和多反应离子监测模式下检测,黄曲霉毒素B和伏马毒素B采用内标法定量,其余毒素采用基质外标法定量.在较宽的线性范围内,种目标化合物的线性相关系数(r)均大于..该方法的检出限为.～.μg/kg,定量限为.～.μg/kg,在个不同添加水平下的加标回收率为.％～％,RSD为.％～.％.采用建立的方法分别对市面上销售的个批次的山银花、葛根和沙棘产品进行检测,部分产品检出不同含量的真菌毒素.该方法快速、灵敏,适用于药食同源性食品中多种真菌毒素的同时检测.","银花, 葛根, 沙棘","银花, 葛根, 沙棘"
基于中医“治未病”理论筛选预防新型冠状病毒肺炎的“药食同源”类中药,"宋成,刘君君,姚诗文,孙佳彬,侯建明,冯秀芝,单国顺","药食同源,中药预防,新型冠状病毒肺炎","目的:在国家卫生健康委员会公布的按照传统药食同源中药材目录中筛选抗新型冠状病毒肺炎中药,在疫情期间为人们提供科学可靠的预防新型冠状病毒肺炎的“药食同源”类中药.方法:对自疫情以来通过中药预防新型冠状病毒肺炎感染的相关文献报道进行综述,并通过近期我国个省市卫生健康委员会发布的《新型冠状病毒感染的肺炎中医药预防方案》中提供的预防性药方,结合按照传统既是食品又是中药材物质目录,搜集整理具有抗病毒、增强机体免疫力的“药食同源”类中药.结果:通过筛选及梳理得到具有抗新型冠状病毒的“药食同源”中药九味.结论:桑叶、菊花、黄芪、青果、桔梗、金银花、藿香、甘草、百合(鲜百合)九味中药,符合中医药理念中“治未病”和“药食同源”的思想,可以应用于预防新型冠状病毒肺炎.","桑叶, 菊花, 黄芪, 青果, 桔梗, 金银花, 藿香, 甘草, 百合","桑叶, 菊花, 黄芪, 青果, 桔梗, 金银花, 藿香, 甘草, 百合"
种降血压药食同源原料研究进展及展望,"何嘉敏,于新,刘学云,王仲芬,唐树森","药食同源,功能性成分,食品,降血压机制","依据我国卫生部颁布的药食同源物品名录,从膳食疗法的角度阐述了莱菔子、山楂、菊花、葛根、决明子、牡蛎、木瓜、佛手、核桃仁和昆布种具有降血压功能的药食同源原料中功能性成分及其降血压机制;概述了降血压食品的发展现状,并指出药食同源降血压食品开发前景和方向.","莱菔子, 山楂, 菊花, 葛根, 决明子, 牡蛎, 木瓜, 佛手, 核桃仁, 昆布","莱菔子, 山楂, 菊花, 葛根, 决明子, 牡蛎, 木瓜, 佛手, 核桃仁, 昆布"
三七的临床应用与药食同源使用现状,"韩倩,陈勇,魏江存,黄周艳,刘玟君,陈良妮","三七,临床应用,药食同源","三七是一种十分常见的化瘀止血类药材,对三七的称谓有田七、山漆、金不换等.从古至今历代医家都对三七的使用有不同见解,其主要用于跌打损伤、出血诸症,“止血不留瘀,化瘀不伤正”也得到各派医家的认同,并享有“止血神药”之美誉.三七不仅可以用于医疗,也可以成为百姓的食材之一,中医对食用三七还有着“生打熟补的说法.综述了最近十年来关于三七在临床方面的应用以及三七药食同源的使用情况.","三七, 金不换","三七, 金不换"
浅谈药食同源食品蒲青琰植物固体饮料的应用,"鲍新,林玉惠,袁如英","药食同源,阴阳平衡,植物固体饮料","中医素有""药食同源""之说,表明医药与饮食属同一个起源.利用蒲公英、青果、鱼腥草、马齿苋、茯苓、金银花、山楂、罗汉果、益智仁、甘草、鸡内金、陈皮、鲜芦根、菊花、莲子、桔梗、葛根、紫苏等十八位味法定药食同源中药,开发出具有解表散寒、清热解毒、润喉生津、健脾温固的""阴阳平衡""药食同源植物固体饮料.","蒲公英, 青果, 鱼腥草, 马齿苋, 茯苓, 金银花, 山楂, 罗汉果, 益智仁, 甘草, 鸡内金, 陈皮, 芦根, 菊花, 莲子, 桔梗, 葛根, 紫苏","蒲公英, 青果, 鱼腥草, 马齿苋, 茯苓, 金银花, 山楂, 罗汉果, 益智仁, 甘草, 鸡内金, 陈皮, 芦根, 菊花, 莲子, 桔梗, 葛根, 紫苏"
药食同源新配方液体KH-的抗病毒作用和安全性研究,"代岩,景世钰,吴杰军,陈景才,赵软金","药食同源,抗病毒,安全性","目的测试药食同源中药材新配方制成的液体KH-的抗病毒作用,并研究其安全性.方法组方选择金银花、菊花、菊苣、蒲公英、代代花、甘草、砂仁、淡竹叶为原料,通过八种药食同源中药材不同的配比及相应的制备工艺制备成液体KH-.进行体外细胞学实验证实其抗病毒作用,并测试其急性经口毒性、遗传毒性、天经口毒性.结果体外细胞学实验结果表明,KH-具有明显的广谱抗病毒作用,并且没有急性经口毒性、遗传毒性、天经口毒性.结论以金银花、菊花、菊苣、蒲公英、代代花、甘草、砂仁、淡竹叶为原料通过一定的制备工艺制得的液体KH-在细胞学实验中具有广谱抗病毒作用,并且是安全的.","金银花, 菊花, 菊苣, 蒲公英, 甘草, 砂仁, 淡竹叶","金银花, 菊花, 菊苣, 蒲公英, 甘草, 砂仁, 淡竹叶"
