,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,篇名,作者,关键词,摘要
0,0,0,0,0,0,药食同源利水方治疗原发性肝癌腹水的临床研究,郝爱凤,"药食同源利水方,原发性肝癌腹水,临床治疗效果","目的研究药食同源利水方治疗原发性肝癌腹水的临床治疗效果,为临床治疗工作的开展提供必要保障.方法随机将方便选取年月—年月该院例原发性肝癌腹水患者分为实验组(例,应用中西医结合治疗)、对照组(例,应用西医常规治疗).对比两组患者腹水治疗效果、中医症状积分.结果实验组临床治疗总有效率为％(/),高于对照组(％,/),差异有统计学意义(χ=.,P=.<.);治疗前,实验组各项中医症状积分与对照组相比,差异无统计学意义(P>.).治疗后,实验组恶心呕吐积分为(.±.)分、发热乏力积分为(.±.)分、腹肿胀满积分为(.±.)分、腹胀膨隆积分为(.±.)分,均比对照组低,差异有统计学意义(t=.、.、.、.,P=.、.、.、..).结论临床治疗原发性肝癌腹水,应用自拟的药食同源利水方,疗效确切,无毒副作用,可有效提高患者的生活质量水平,减少中医症状积分,无不良反应发生."
1,1,1,1,1,1,"大学生创新创业实践——以亳州学院""药食同源烘焙坊""创业实践项目为例","李娜,季思膊,李莹莹,杨雨琴,王婷,肖白云","大学生创新创业训练,药食同源,烘焙坊","在""双创""的背景下,国家大力支持大学生进行创新创业训练,亳州学院""药食同源烘焙坊""创业实践项目作为大学生创新创业训练项目,目前正在实施中.本文将学生所学专业与创业实践相结合,对项目的基本情况与实施过程进行了简单介绍,以供参考."
2,2,2,2,2,2,黄芪等药食同源类中药作为功能性食品与肠道菌群的相互作用,"田雨,丁艳平,邵宝平,杨晶,吴建国","黄芪,药食同源,功能性成分,肠道菌群,中草药功能性食品","中草药是我国文化的瑰宝,中医理论是中国传统医学的核心,其中的许多理念都可以与现代食品工业中的功能性食品概念得到统一与平衡.自古人们便发现药品与食品有同一来源,现如今,药食同源概念已被大众广泛接受,黄芪等多味中药被先后列入药食同源目录中,药食同源类中药中含有丰富的生物活性物质,可作为特色资源被开发成相关功能性食品,实现传统医学与现代理念的结合.黄芪中的主要功能性成分——黄酮类、多糖类和皂苷类能通过影响肠道菌群的种群结构、代谢以及肠道细胞功能等方式维持肠道微环境稳态,进而影响人体健康;另一方面,肠道菌群也参与这些活性成分在体内的吸收、代谢、转化等各个步骤,对其功效的发挥产生影响,提高其生物利用度,是生物活性物质发挥功效相关机制中必不可少的角色.该文主要对黄芪中的黄酮类、多糖类和皂苷类活性成分与肠道菌群的相互作用做一综述,同时列举出其他药食两用中药中的这种主要功能成分与肠道菌群的相互作用方式,进行概括,为黄芪等药食同源类中药作为功能性食品原料的功效机制及新产品应用与开发方面提供理论基础,并对黄芪等药食同源类中草药功能性食品的未来发展提出建议与展望."
3,3,3,3,3,3,药食同源植物葛根的研究进展,"董彐倩,梅瑜,王继华,黄能旭,蔡时可","药食同源,葛根,化学成分,食品开发,育种","葛根营养丰富,是一种重要的药食同源植物,可开发为多种药用和保健食品,市场前景广阔.综述了葛根资源与分布、化学成分、药用历史、食品开发与利用、育种栽培等方面的研究进展,以期为葛根的研究及开发利用提供参考."
4,4,4,4,4,4,药食同源蔬菜赤苍藤新品种桂赤苍藤号和桂赤苍藤号的选育,"张尚文,李婷,石前,潘颖南,庾韦花,蒙平,张向军","赤苍藤,桂赤苍藤号,桂赤苍藤号,药食同源蔬菜","桂赤苍藤号和桂赤苍藤号是从广西野生赤苍藤种质资源中筛选出的优良株系,采用组培快繁为主、扦插繁育为辅的方法选育出的药食同源蔬菜赤苍藤新品种.桂赤苍藤号嫩芽绿色,每m产量kg左右;桂赤苍藤号嫩芽红色,香味较桂赤苍藤号浓郁,每m产量kg左右.这两个品种均具腋生卷须,枝纤细,有不明显的条纹,叶纸质至厚纸质或近革质,叶长～cm,叶宽～cm;采食新鲜嫩芽,长度cm左右,有特殊香味,蛋白质、脂肪、粗纤维、钙、磷、VC含量及氨基酸总量明显高于常见蔬菜;定植a(年)后进入丰产期,适宜广西及西南地区露地栽培,北方地区保护地栽培."
5,5,5,5,5,5,德昂族药食同源探析,"金锦,梁志庆,俞永琼","德昂族,药食同源,探析","德昂族人口较少,其民族民间医药虽一定程度上得到发掘整理,但仍需作进一步研究.目前,未见有人对德昂族的药食同源、养生保健及繁衍生息问题有进一步研究和总结.因此,笔者拟从其饮食习俗中,略作探析."
6,6,6,6,6,6,加速溶剂萃取-QuEChERS/超高效液相色谱-串联质谱法同时测定药食同源性食品中双酚类化合物,"曾静,曲栗,古淑青,邓晓军,伊雄海,张晶,丁涛,柳菡","加速溶剂萃取(ASE),QuEChERS,超高效液相色谱-串联质谱(UPLC-MS/MS),双酚类化合物,药食同源","建立了加速溶剂萃取(ASE)-QuEChERS/超高效液相色谱-串联质谱(UPLC-MS/MS)同时测定药食同源性食品中种双酚类化合物残留的分析方法.样品经ASE萃取,萃取溶剂为乙腈-乙酸-水(∶∶,体积比),萃取温度为℃,静态萃取时间为min,循环次.萃取液经QuEChERS法净化,采用ACQUITYUPLCHSST色谱柱(.mm×mm,.μm)分离,以甲醇(含.％甲酸)和mmol/L乙酸铵水溶液(含.％甲酸)为流动相进行梯度洗脱,电喷雾电离源正、负模式下同时进行多反应监测(MRM)测定,同位素内标法定量.种双酚类化合物在.～.μg/L范围内呈良好线性,相关系数(r)不小于.,检出限为.～.μg/kg,定量下限为.～.μg/kg;个加标水平的回收率为.％～％,相对标准偏差(RSD)为.％～％.该方法操作简单、快速、灵敏度高、重现性好,适用于药食同源性食品中双酚类化合物的同时快速测定."
7,7,7,7,7,7,药食同源的发展与应用概况,"唐雪阳,谢果珍,周融融,张水寒","药食同源,产业,发展,策略","药食同源在我国有着悠久的历史,药食同源产业是国家发展""健康中国""战略中不可或缺的一环.伴随国内政策的高度支持与国外环境的日益友好,药食同源产业得到快速发展,但也映射出一些问题.法定药食同源品种可依据中医保健功能与性味功效特性归纳为类,为开发应用提供借鉴.深入市场调研、掌握市场需求、加强基础研究与精深加工技术研究、建设标准体系,将有利于开发集安全性、风味性及个性化于一体的药食同源产品,促进药食同源产业发展,助力""健康中国""的打造."
8,8,8,8,8,8,防治冠心病药食同源类中药配伍研究,"盛蒙,陈瑞,田维毅","冠心病,药食同源类中药,用药规律,关联规则","目的:分析近十年来药食同源类中药防治冠心病的应用及配伍规律.方法:检索中医临床诊疗文献数据库、中国知网,筛选-年治疗冠心病的临床文献,运用频数统计和关联规则分析的Apriori算法分析防治冠心病的中药及药食同源类中药性味归经、高频药对及其配伍规律.结果:共纳入篇临床文献,首方剂,味中药.临床治疗冠心痛最常用的味中药为丹参、黄芪、川芎、红花、瓜蒌;最常用的味药食同源类中药为甘草、当归、桃仁、人参、薤白、桔梗.结论:防治冠心病的药食同源类中药以补气活血养血类中药为主,药性平和."
9,9,9,9,9,9,不同产地六种药食同源药材中重金属及农药残留的测定,"吴诗惠,杨军,朱宁,王剑波","不同地域,药食同源,药材,重金属,农药残留","目的:对不同地域的种药食同源药材中重金属及农药残留进行测定,为药材的安全性评价和监管及相应措施的实施提供科学依据.方法:参照《中国药典》年版中检测方法,运用微波消解-电感耦合等离子体质谱法对药材中重金属铅、砷、镉、汞、铜残留进行含量测定,运用气相色谱法对药材中有机氯农药残留进行检测,并与《中国药典》年版、《GB-食品中污染物限量》、《WM/T-药用植物及制剂外经贸绿色行业标准》及《GB-食品中农药最大残留限量》等法典或标准中重金属及农药残留限量对比,评价不同地域的污染状况及药材品质.结果:根据重金属及农药残留检测方法测得不同地域的种药食同源药材均未超出《中国药典》年版中规定的重金属及农药残留的限度,但其中样品、的砷含量均大于.mg·kg-,样品、、、、、、、的镉含量均大于.mg·kg-,均超出《GB-食品中污染物限量标准》中的污染物限量.结论:我国镉和砷污染状况仍然严峻,全面禁止有机氯农药的使用初显成效,药食同源药材的监测力度有待提升."
